년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-06-24,"66,900","1,000","2,164,462","144,645,726,600","65,900","67,400","65,600","48,703,358","728,002,365"
2019-06-21,"65,900","-1,400","2,403,002","159,417,973,300","67,100","67,300","65,900","47,975,356","728,002,365"
2019-06-20,"67,300",100,"2,773,637","185,584,184,804","67,200","67,400","66,200","48,994,559","728,002,365"
2019-06-19,"67,200","3,800","6,230,370","412,795,317,830","65,800","67,300","65,200","48,921,759","728,002,365"
2019-06-18,"63,400",-300,"1,549,497","98,635,878,200","63,800","64,200","63,300","46,155,350","728,002,365"
2019-06-17,"63,700",600,"2,435,039","154,347,035,100","62,800","63,800","62,400","46,373,751","728,002,365"
2019-06-14,"63,100",-400,"3,686,472","232,819,839,250","63,200","64,000","62,600","45,936,949","728,002,365"
2019-06-13,"63,500","-2,200","5,947,811","379,232,731,504","64,900","65,100","63,300","46,228,150","728,002,365"
2019-06-12,"65,700","-1,500","2,437,640","161,331,847,200","66,800","67,100","65,700","47,829,755","728,002,365"
2019-06-11,"67,200",400,"2,429,182","163,287,108,800","66,900","67,800","66,700","48,921,759","728,002,365"
2019-06-10,"66,800","1,400","3,091,757","205,706,008,000","66,100","67,000","65,800","48,630,558","728,002,365"
2019-06-07,"65,400",300,"2,355,869","153,808,992,600","65,200","66,000","64,600","47,611,355","728,002,365"
2019-06-05,"65,100",0,"4,832,796","320,293,658,798","66,900","67,600","64,900","47,392,954","728,002,365"
2019-06-04,"65,100","-1,500","2,892,681","189,932,884,900","66,500","66,700","65,100","47,392,954","728,002,365"
2019-06-03,"66,600","1,300","4,020,572","266,028,146,700","65,200","67,200","64,200","48,484,958","728,002,365"
2019-05-31,"65,300",-600,"3,191,350","209,941,258,753","65,900","66,900","64,700","47,538,554","728,002,365"
2019-05-30,"65,900",-200,"3,023,108","200,326,790,700","66,300","66,900","65,800","47,975,356","728,002,365"
2019-05-29,"66,100",200,"6,056,903","398,147,731,712","65,600","66,700","64,900","48,120,956","728,002,365"
2019-05-28,"65,900","-1,000","12,052,399","798,360,749,200","67,200","68,300","65,900","47,975,356","728,002,365"
2019-05-27,"66,900",-700,"2,214,176","148,461,247,500","67,900","68,200","66,400","48,703,358","728,002,365"
2019-05-24,"67,600",-400,"3,339,145","226,125,147,669","67,300","68,600","67,000","49,212,960","728,002,365"
2019-05-23,"68,000",-900,"3,108,370","211,487,699,400","68,400","69,100","67,300","49,504,161","728,002,365"
2019-05-22,"68,900","-1,400","3,128,787","216,749,054,670","71,300","71,300","68,500","50,159,363","728,002,365"
2019-05-21,"70,300",-600,"3,893,536","275,609,710,900","70,500","72,200","69,700","51,178,566","728,002,365"
2019-05-20,"70,900",-700,"1,970,694","141,289,659,600","71,800","72,800","70,700","51,615,368","728,002,365"
