년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-09-19,"129,000","1,500","618,746","79,245,661,750","127,500","129,000","126,500","27,563,196","213,668,187"
2019-09-18,"127,500","1,500","537,604","68,452,206,000","126,000","128,500","125,500","27,242,694","213,668,187"
2019-09-17,"126,000","-2,000","610,086","76,971,970,500","127,500","128,000","125,500","26,922,192","213,668,187"
2019-09-16,"128,000","-1,000","777,956","99,073,672,500","128,500","129,500","126,000","27,349,528","213,668,187"
2019-09-11,"129,000","1,000","756,459","97,205,874,000","128,500","129,000","127,500","27,563,196","213,668,187"
2019-09-10,"128,000","1,000","458,487","58,501,354,000","127,000","128,500","126,500","27,349,528","213,668,187"
2019-09-09,"127,000",-500,"378,542","48,049,148,500","127,500","128,500","126,000","27,135,860","213,668,187"
2019-09-06,"127,500",-500,"380,856","48,431,988,500","128,000","128,500","126,500","27,242,694","213,668,187"
2019-09-05,"128,000",-500,"478,990","61,283,894,500","128,000","129,000","127,000","27,349,528","213,668,187"
2019-09-04,"128,500",0,"496,326","63,613,280,500","128,000","129,000","127,000","27,456,362","213,668,187"
2019-09-03,"128,500","-2,500","505,454","65,303,938,500","131,500","132,000","127,500","27,456,362","213,668,187"
2019-09-02,"131,000","2,500","385,326","50,162,825,500","128,000","132,000","127,500","27,990,532","213,668,187"
2019-08-30,"128,500","2,000","433,515","55,583,451,622","127,500","129,000","127,000","27,456,362","213,668,187"
2019-08-29,"126,500","-1,000","393,472","49,991,259,500","127,500","128,000","126,000","27,029,026","213,668,187"
2019-08-28,"127,500","2,500","766,622","98,390,335,000","128,500","130,500","127,000","27,242,694","213,668,187"
2019-08-27,"125,000",500,"1,043,657","130,495,324,000","125,000","126,500","124,000","26,708,523","213,668,187"
2019-08-26,"124,500","-1,500","391,828","49,020,949,000","124,000","126,000","123,500","26,601,689","213,668,187"
2019-08-23,"126,000","2,000","256,322","32,113,595,500","123,000","126,000","123,000","26,922,192","213,668,187"
2019-08-22,"124,000","-1,500","480,559","59,860,507,000","126,000","126,500","124,000","26,494,855","213,668,187"
2019-08-21,"125,500","-1,000","530,685","66,656,592,500","126,500","127,500","124,000","26,815,357","213,668,187"
2019-08-20,"126,500","-1,500","481,643","60,762,830,000","127,500","128,500","125,000","27,029,026","213,668,187"
2019-08-19,"128,000",0,"242,024","31,070,093,000","127,500","129,500","127,500","27,349,528","213,668,187"
2019-08-16,"128,000",500,"352,114","44,545,711,500","126,500","128,000","125,000","27,349,528","213,668,187"
2019-08-14,"127,500","-1,500","614,128","79,120,008,436","130,000","131,500","127,000","27,242,694","213,668,187"
2019-08-13,"129,000","-2,000","334,053","43,412,988,500","129,500","131,000","129,000","27,563,196","213,668,187"
2019-08-12,"131,000","-1,500","350,563","46,081,776,000","131,000","132,500","130,000","27,990,532","213,668,187"
2019-08-09,"132,500","2,500","521,574","68,651,966,879","131,500","132,500","129,000","28,311,035","213,668,187"
2019-08-08,"130,000","3,000","1,303,906","169,851,534,500","129,000","132,500","128,500","27,776,864","213,668,187"
2019-08-07,"127,000","1,000","752,576","95,819,628,000","126,500","129,000","126,500","27,135,860","213,668,187"
2019-08-06,"126,000","-1,500","762,619","95,703,374,500","126,000","127,500","123,000","26,922,192","213,668,187"
2019-08-05,"127,500",0,"748,862","94,950,536,000","127,500","128,000","125,500","27,242,694","213,668,187"
2019-08-02,"127,500","2,000","605,798","77,017,302,264","126,000","128,500","124,500","27,242,694","213,668,187"
2019-08-01,"125,500","-1,000","468,797","59,818,661,500","126,500","130,000","125,000","26,815,357","213,668,187"
2019-07-31,"126,500","-1,500","488,189","62,240,758,500","126,500","129,000","126,500","27,029,026","213,668,187"
2019-07-30,"128,000",0,"321,935","41,139,680,000","129,000","129,500","126,500","27,349,528","213,668,187"
2019-07-29,"128,000","-2,500","464,288","59,478,507,500","130,000","131,000","126,500","27,349,528","213,668,187"
2019-07-26,"130,500","-1,000","394,087","51,685,859,000","130,500","132,500","130,000","27,883,698","213,668,187"
2019-07-25,"131,500","-1,000","613,289","80,425,373,500","131,500","133,500","130,000","28,097,367","213,668,187"
2019-07-24,"132,500",500,"419,148","55,638,286,000","131,500","133,500","131,500","28,311,035","213,668,187"
2019-07-23,"132,000","-1,000","1,128,639","147,746,210,500","133,500","133,500","128,500","28,204,201","213,668,187"
2019-07-22,"133,000","-1,500","608,574","81,357,556,000","134,000","135,500","132,000","28,417,869","213,668,187"
2019-07-19,"134,500",500,"363,374","48,674,446,500","135,500","135,500","132,000","28,738,371","213,668,187"
2019-07-18,"134,000",500,"355,896","47,471,144,500","133,000","134,500","132,500","28,631,537","213,668,187"
2019-07-17,"133,500",500,"375,651","50,121,086,500","133,000","134,500","132,000","28,524,703","213,668,187"
2019-07-16,"133,000","-5,000","902,923","120,876,676,000","139,000","139,000","132,000","28,417,869","213,668,187"
2019-07-15,"138,000","-1,500","280,032","38,640,096,500","139,500","140,000","137,000","29,486,210","213,668,187"
2019-07-12,"139,500",500,"549,266","76,924,045,000","138,500","142,000","138,000","29,806,712","213,668,187"
2019-07-11,"139,000","2,000","1,070,266","147,661,516,000","136,500","140,500","135,000","29,699,878","213,668,187"
2019-07-10,"137,000",-500,"567,104","77,761,381,000","139,000","140,000","135,500","29,272,542","213,668,187"
2019-07-09,"137,500","-1,000","435,577","60,616,050,000","139,500","141,500","137,000","29,379,376","213,668,187"
2019-07-08,"138,500","-3,000","339,244","47,476,389,000","140,500","142,000","138,000","29,593,044","213,668,187"
2019-07-05,"141,500","2,500","338,177","47,637,114,000","139,000","142,000","138,500","30,234,048","213,668,187"
2019-07-04,"139,000","3,000","305,720","42,091,820,500","135,500","139,500","135,000","29,699,878","213,668,187"
2019-07-03,"136,000","-1,000","582,636","79,397,063,500","136,000","138,000","134,000","29,058,873","213,668,187"
2019-07-02,"137,000","-4,000","444,895","61,162,973,000","139,500","140,000","136,500","29,272,542","213,668,187"
2019-07-01,"141,000","1,000","328,363","46,191,075,000","141,500","142,500","139,500","30,127,214","213,668,187"
2019-06-28,"140,000",-500,"274,397","38,369,741,500","140,000","141,000","139,000","29,913,546","213,668,187"
2019-06-27,"140,500","-1,000","343,337","48,441,831,000","141,000","142,500","139,500","30,020,380","213,668,187"
2019-06-26,"141,500",0,"239,375","33,809,069,000","141,000","142,000","140,000","30,234,048","213,668,187"
2019-06-25,"141,500","-1,000","294,735","41,638,446,500","142,500","142,500","140,500","30,234,048","213,668,187"
2019-06-24,"142,500","2,000","287,939","41,035,245,000","142,000","143,500","141,500","30,447,717","213,668,187"
2019-06-21,"140,500",0,"291,573","40,977,481,500","140,000","141,000","139,500","30,020,380","213,668,187"
2019-06-20,"140,500",500,"259,704","36,370,338,500","139,500","141,000","139,000","30,020,380","213,668,187"
2019-06-19,"140,000","-1,000","303,777","42,578,764,000","140,500","141,000","139,000","29,913,546","213,668,187"
2019-06-18,"141,000","1,000","222,606","31,296,377,000","140,500","141,500","139,500","30,127,214","213,668,187"
2019-06-17,"140,000",-500,"228,663","32,094,471,000","140,000","141,500","139,500","29,913,546","213,668,187"
2019-06-14,"140,500",-500,"339,897","47,804,085,000","140,000","142,500","139,500","30,020,380","213,668,187"
2019-06-13,"141,000",0,"946,951","132,583,386,000","140,500","141,500","137,500","30,127,214","213,668,187"
2019-06-12,"141,000","-2,500","535,905","75,528,251,500","143,500","143,500","139,500","30,127,214","213,668,187"
2019-06-11,"143,500",500,"362,392","51,563,308,000","142,500","143,500","140,500","30,661,385","213,668,187"
2019-06-10,"143,000","3,000","468,996","66,627,155,500","142,000","143,000","140,000","30,554,551","213,668,187"
2019-06-07,"140,000","-1,000","492,290","69,112,520,628","141,500","142,000","139,500","29,913,546","213,668,187"
2019-06-05,"141,000","2,000","608,171","85,466,499,330","139,500","142,000","139,000","30,127,214","213,668,187"
2019-06-04,"139,000",500,"585,901","81,326,296,290","137,000","140,500","137,000","29,699,878","213,668,187"
2019-06-03,"138,500","4,000","651,551","88,928,721,500","134,000","138,500","132,500","29,593,044","213,668,187"
2019-05-31,"134,500","-1,000","925,504","123,694,978,000","134,500","135,000","131,000","28,738,371","213,668,187"
2019-05-30,"135,500","1,500","495,640","66,543,557,500","132,500","136,500","132,500","28,952,039","213,668,187"
2019-05-29,"134,000","-2,500","637,263","85,120,663,000","135,000","135,500","131,500","28,631,537","213,668,187"
2019-05-28,"136,500","1,500","1,209,912","164,030,859,500","135,000","136,500","133,000","29,165,708","213,668,187"
2019-05-27,"135,000","4,500","716,578","95,962,210,000","130,000","135,500","130,000","28,845,205","213,668,187"
2019-05-24,"130,500","3,000","649,719","83,905,448,950","127,000","130,500","126,000","27,883,698","213,668,187"
2019-05-23,"127,500",500,"637,184","81,634,053,500","129,000","129,500","126,500","27,242,694","213,668,187"
2019-05-22,"127,000",0,"381,004","48,457,805,750","127,000","129,000","126,000","27,135,860","213,668,187"
2019-05-21,"127,000","-2,000","733,503","93,189,026,500","129,000","129,500","125,000","27,135,860","213,668,187"
2019-05-20,"129,000","3,500","825,485","106,224,099,500","125,500","129,500","125,500","27,563,196","213,668,187"
2019-05-17,"125,500","-2,000","298,037","37,706,929,000","127,000","128,500","125,000","26,815,357","213,668,187"
